Tỉnh duy nhất có ba mặt đất liền giáp biển?,Khánh Hòa,Kiên Giang,Cà Mau,Quảng Ngãi,3
Địa phương nào trồng nhiều chè nhất cả nước?,Quảng Nam,Thái Nguyên,Lâm Đồng,Hải Phòng,3
Tỉnh nào có mật độ dân số thấp nhất cả nước?,Bình Dương,Điện Biên,Lai Châu,Bắc Cạn,2
Tỉnh nào có mật độ dân số cao nhất Việt Nam?,Bắc Ninh,Hà Nam,Thái Bình,Bình Định,1
Tên gọi của tỉnh nào theo tiếng Kinh có nghĩa là "làng hồ"?,Đắc Lắc,Kom Tum,Gia Lai,Đắc Nông,4
'Nóc nhà Đông Dương' ở tỉnh nào?,Điện Biên,Hà Giang,Lào Cai,Lai Châu,2
Tỉnh nào có hai sân bay dân sự đang khai thác?,Quảng Ninh,Quảng Nam,Khánh Hòa,Kiên Giang,1
Việt Nam hiện có bao nhiêu huyện đảo?,5,9,12,22,3
Tỉnh thành nào có nhiều huyện nhất?,Bắc Ninh,Thái Bình,Thanh Hóa,Nghệ An,4
Tỉnh nào có lượng mưa trung bình năm thấp nhất cả nước?,Bình Phước,Ninh Thuận,Bình Thuận,Khánh Hòa,2
